setting,Accuracy,Precision,Recall,F-score,adjAccuracy,adjPrecision,adjRecall,adjF-score
anomaly_detection_mse_UCRA_052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-38-37,0.94635415,0.006289308176100629,0.020408163,0.009615385,0.95885414,0.23671497,1.0,0.3828125
anomaly_detection_mse_UCRA_053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-39-14,0.94227433,0.02702702702702703,0.0043290043,0.0074626864,0.9921875,0.8651685,1.0,0.92771083
anomaly_detection_mse_UCRA_054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-39-48,0.9669271,0.014285714285714285,0.016949153,0.015503876,0.9820312,0.4609375,1.0,0.631016
anomaly_detection_mse_UCRA_055_UCR_Anomaly_DISTORTEDapneaecg2_10000_20950_21100.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-40-24,0.9913429,0.01020408163265306,0.006666667,0.008064516,0.99658644,0.60728747,1.0,0.7556675
anomaly_detection_mse_UCRA_056_UCR_Anomaly_DISTORTEDapneaecg3_5000_11111_11211.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-41-14,0.9631177,0.0008928571428571428,0.01,0.0016393443,0.96611553,0.082034454,1.0,0.15163003
anomaly_detection_mse_UCRA_057_UCR_Anomaly_DISTORTEDapneaecg4_6000_16000_16100.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-41-55,0.9861731,0.0028735632183908046,0.01,0.004464286,0.9892423,0.22371365,1.0,0.36563072
anomaly_detection_mse_UCRA_058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-42-39,0.9933136,0.008064516129032258,0.014705882,0.010416667,0.99567145,0.35602096,1.0,0.52509654
anomaly_detection_mse_UCRA_059_UCR_Anomaly_DISTORTEDgait1_20000_38500_38800.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-43-29,0.9872261,0.0036900369003690036,0.0033333334,0.003502627,0.99393857,0.5263158,1.0,0.6896552
anomaly_detection_mse_UCRA_060_UCR_Anomaly_DISTORTEDgait2_22000_46500_46800.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-44-35,0.97984093,0.0017574692442882249,0.0033333334,0.002301496,0.98679316,0.34562212,1.0,0.51369864
anomaly_detection_mse_UCRA_061_UCR_Anomaly_DISTORTEDgait3_24500_59900_60500.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-45-49,0.983098,0.012987012987012988,0.0016666667,0.0029542097,0.99809694,0.88757396,1.0,0.94043887
anomaly_detection_mse_UCRA_062_UCR_Anomaly_DISTORTEDgaitHunt1_18500_33070_33180.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-47-04,0.9951006,0.008771929824561403,0.009090909,0.008928572,0.9975062,0.49327356,1.0,0.6606607
anomaly_detection_mse_UCRA_063_UCR_Anomaly_DISTORTEDgaitHunt2_18500_31200_31850.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-48-10,0.9855226,0.2,0.003076923,0.006060606,0.99982345,0.98784196,1.0,0.9938838
anomaly_detection_mse_UCRA_064_UCR_Anomaly_DISTORTEDgaitHunt3_23400_38400_39200.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-49-17,0.9800931,1.0,0.00625,0.0124223605,1.0,1.0,1.0,1.0
anomaly_detection_mse_UCRA_065_UCR_Anomaly_DISTORTEDinsectEPG1_3000_7000_7030.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-08_21-50-30,0.95616317,0.0036363636363636364,0.033333335,0.006557377,0.9603588,0.098684214,1.0,0.17964073
anomaly_detection_mse_UCRA_001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm256_nh8_el4_dl1_df512_fc1_ebtimeF_dtTrue_test24-09-09_14-48-33,0.9784258,0.014245014245014245,0.008064516,0.010298661,0.9922324,0.6418219,1.0,0.7818411
